slug,age_band,gender,occupation,tcg_history,interest,handle_name,notes
f20_01,20代前半,女性,受付,復帰勢(子供の頃以来),バトル派(対戦が主目的),ねこまっちゃ,
f20_02,20代中盤,女性,経理事務,復帰勢(コロナ禍にハマり直した),コレクション派(集めるのが好き),あめちゃん🍬,
f20_03,20代後半,女性,Webディレクター,復帰勢(数年ぶりに最近戻ってきた),デザイン派(イラスト目的),@mitsuki_design,
f20_04,20代前半,女性,看護師,ベテラン(継続的に追ってる),デザイン派(イラスト目的),夜勤明けの沼,
f20_05,20代後半,女性,中堅事務職,復帰勢(子供の頃以来),投資派(控えめ・損切り上手),みずき🌙,
m20_01,20代前半,男性,フリーター,復帰勢(子供の頃以来),バトル派(対戦が主目的),ネメシス,
m20_02,20代中盤,男性,SE,復帰勢(数年ぶりに最近戻ってきた),コレクション派(集めるのが好き),ねこぜ,
m20_03,20代後半,男性,フリーランス,新規(半年前から),バトル派(対戦が主目的),@deck_tuner,
m20_04,20代前半,男性,工場勤務,復帰勢(数年ぶりに最近戻ってきた),デザイン派(イラスト目的),つむぎ,
m20_05,20代後半,男性,サービス業,ベテラン(継続的に追ってる),投資派(控えめ・損切り上手),ポケ相場師,
m30_01,30代前半,男性,メーカー技術,復帰勢(数年ぶりに最近戻ってきた),シングル派(値段重視),ナベキ,
m30_02,30代中盤,男性,医療職,復帰勢(コロナ禍にハマり直した),バトル派(対戦が主目的),ドクターセン,
m30_03,30代後半,男性,営業課長,ベテラン(継続的に追ってる),シングル派(値段重視),陸 (りく),
m30_04,30代前半,男性,公務員,復帰勢(コロナ禍にハマり直した),コレクション派(集めるのが好き),ねむねむ堂,
m30_05,30代中盤,男性,営業課長候補,コレクター志向(値段より好み重視),オリパ派(ガチャ的に楽しむ),翔太@ポケカ沼,
m30_06,30代後半,男性,管理職SE,復帰勢(子供の頃以来),シングル派(値段重視),@singlecardman,
m30_07,30代前半,男性,SE,復帰勢(コロナ禍にハマり直した),オリパ派(ガチャ的に楽しむ),ナイト勤務のカード沼,
m30_08,30代中盤,男性,医療職,復帰勢(コロナ禍にハマり直した),バトル派(対戦が主目的),白夜勤の人,
m30_09,30代後半,男性,個人事業主,新規(半年前から),バトル派(対戦が主目的),ナイト戦士,
m30_10,30代前半,男性,メーカー技術,復帰勢(子供の頃以来),投資派(控えめ・損切り上手),@lab_memo,